Employee_ID,Name,Age,Years_of_Experience,Performance_Rating,Projects_Completed,Training_Hours,Eligible_for_Promotion
55,Shannon Jones,30,9,3.230857340838204,2,80,0
56,Michael Lewis,39,10,4.209659654060448,6,36,1
57,Timothy Duncan,54,16,3.5022425041397884,1,21,1
58,Richard Aguirre,39,2,3.0070913781755646,3,91,1
59,Brent Jordan,32,15,4.1033608422527825,7,81,0
60,John Daniel,29,3,4.890101878093278,3,79,0
61,Victoria Garcia,45,19,4.105050193489995,7,26,0
62,Gerald Hensley,41,12,4.79796297748518,1,55,0
63,Connor West,37,4,3.7073572692292367,9,62,0
64,Donald Wright,37,6,4.9524120658619255,3,62,0
65,Jessica Callahan,33,11,4.564772992295263,7,95,0
66,Amber Kidd,39,6,4.574749018270943,2,58,0
67,Tracy House,52,8,3.399145660051504,8,54,1
68,Carol Tucker,36,8,3.047328869402903,4,61,1
69,James Brown,39,3,4.933778208096722,5,54,1
70,William Baker,56,11,4.8784742806494314,2,43,0
71,Jordan Henderson,59,9,3.0765143947065257,10,65,1
72,Whitney Peters,42,14,4.212417706612286,9,24,1
73,Brittney Phillips,58,7,3.5094450122771637,7,10,0
74,Lauren Daniels,45,14,3.1399476222526204,6,89,1
75,Amy Silva,29,10,4.014245008070539,7,51,1
76,Sarah Moore,40,18,3.2545755981183064,7,95,1
77,Angela Lopez,33,20,4.138210509731619,7,80,0
78,Megan Young,41,10,3.4203653697652836,10,87,1
79,Steve Sanchez,51,15,3.884319598609615,4,75,1
80,Lisa Barnes,32,3,3.567572809986055,10,52,0
81,Kelly Donovan,37,10,3.4492813319945768,4,28,0
82,Mike Allen,24,8,4.967872045563703,10,19,1
83,Michael Evans,48,19,3.3888704734794186,7,73,1
84,Paul Jones,37,5,4.312116022223568,1,23,1
85,Zachary Ferrell,36,6,4.608219712346286,9,69,0
86,Daniel Baker,57,8,4.83494002891088,2,68,0
87,Shirley Suarez,51,17,4.975784906132896,10,50,1
88,Christopher Bass,54,14,4.6611383394428305,9,67,0
89,Lisa Archer,52,15,3.5183830969300387,4,91,1
90,Aimee Montoya,55,16,4.253496873963563,5,66,0
91,Matthew Mcmillan,40,8,3.543430214164369,6,79,0
92,Brian Rodriguez,30,5,3.462522959456374,3,100,0
93,Denise Jacobs,26,14,3.8151987393331734,9,69,1
94,Christina Walters,25,7,4.665782338680975,7,84,0
95,John Whitehead,58,13,3.953959465114714,6,48,1
96,Anna Henderson,48,18,4.495031337956101,9,87,0
97,Aaron Wise,53,8,3.545870623526513,8,13,1
98,Deborah Figueroa,43,13,4.4483627552545775,8,26,0
99,Jessica Smith,47,19,4.128783966049548,1,20,1
100,Stephen Mckee,30,15,3.3634580530268643,5,58,1
