Applicant_ID,Name,Age,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Creditworthy
68,Carol Tucker,32,84525.03,450,6099.14,24,Unemployed,0
69,James Brown,47,53155.28,499,37325.57,48,Unemployed,1
70,William Baker,33,31805.71,305,45169.69,12,Unemployed,0
71,Jordan Henderson,29,84328.79,830,25904.74,60,Employed,0
72,Whitney Peters,47,30667.13,775,35041.0,60,Self-Employed,1
73,Brittney Phillips,46,69012.19,816,24203.33,60,Unemployed,0
74,Lauren Daniels,65,88919.59,760,16663.62,24,Self-Employed,1
75,Amy Silva,51,58767.76,544,17356.89,12,Self-Employed,1
76,Sarah Moore,33,41737.21,627,45186.21,12,Employed,0
77,Angela Lopez,32,50642.82,456,36788.86,12,Unemployed,1
78,Megan Young,39,63408.89,725,7801.96,48,Unemployed,0
79,Steve Sanchez,54,50430.48,306,47423.37,36,Unemployed,1
80,Lisa Barnes,52,79801.25,525,26970.33,36,Unemployed,1
81,Kelly Donovan,19,51108.58,714,37588.16,48,Employed,0
82,Mike Allen,43,67351.42,327,8777.64,48,Employed,1
83,Michael Evans,29,24022.77,688,19730.87,48,Unemployed,1
84,Paul Jones,42,42260.53,731,16352.22,12,Unemployed,0
85,Zachary Ferrell,65,63153.52,658,15090.0,12,Self-Employed,0
86,Daniel Baker,19,95968.94,504,42765.3,60,Employed,0
87,Shirley Suarez,26,57884.88,417,30378.63,24,Unemployed,1
88,Christopher Bass,41,33423.13,417,40000.63,24,Unemployed,0
89,Lisa Archer,55,22054.27,619,30910.85,48,Unemployed,0
90,Aimee Montoya,22,67367.83,548,9585.56,36,Self-Employed,0
91,Matthew Mcmillan,54,82610.83,655,28973.54,36,Employed,1
92,Brian Rodriguez,18,87966.05,801,9749.25,36,Self-Employed,1
93,Denise Jacobs,63,32239.29,480,38020.79,36,Self-Employed,1
94,Christina Walters,47,54845.96,574,19503.71,24,Employed,1
95,John Whitehead,46,39509.08,775,30643.23,48,Unemployed,0
96,Anna Henderson,49,88076.23,486,26939.75,36,Unemployed,1
97,Aaron Wise,35,90425.6,582,30010.6,60,Employed,0
98,Deborah Figueroa,33,77605.97,800,29982.93,24,Self-Employed,1
99,Jessica Smith,59,76947.39,758,40681.98,12,Unemployed,0
100,Stephen Mckee,43,75342.97,613,34878.2,36,Unemployed,1
101,Sandra Aguilar,45,99730.52,638,20831.47,48,Unemployed,1
102,Cameron Parker,34,38443.04,497,19199.66,60,Self-Employed,0
103,Rebecca Valencia,30,37310.77,795,17442.48,60,Self-Employed,1
104,Christine Wright,24,86610.27,603,15236.74,24,Unemployed,0
105,Richard Henson,63,62730.81,580,7048.21,12,Self-Employed,1
106,Marc Moore,62,95527.17,802,9616.44,12,Self-Employed,1
107,Sharon Cherry,48,58297.14,648,13296.37,12,Unemployed,1
108,Sierra Johnson,25,85769.25,710,27128.6,60,Self-Employed,0
109,Evelyn Galvan,27,31935.81,611,8833.14,24,Employed,1
110,Sharon Cochran,56,67690.15,531,39906.21,48,Unemployed,1
111,Richard Rodriguez,37,88813.33,739,18742.11,60,Employed,0
112,Shannon Walker,31,70041.2,570,34719.27,24,Employed,0
113,Julia Torres,53,26005.19,302,23383.29,60,Unemployed,1
114,Crystal Johnson,20,38518.1,589,36634.44,48,Employed,0
115,Garrett Lin,34,83026.24,502,24131.25,60,Employed,0
116,Diana May,35,86130.49,373,7683.71,36,Self-Employed,1
117,William Herrera,46,29948.29,611,36488.02,36,Self-Employed,1
118,Ashley Waller,46,26435.35,340,45024.03,36,Self-Employed,1
119,Victor Baker,19,27306.15,321,49980.76,36,Self-Employed,0
120,Jeffrey Chandler,29,57640.07,752,46223.28,24,Self-Employed,1
121,Larry Dixon,58,85139.6,393,26150.47,48,Unemployed,1
122,Kenneth Scott,60,28367.99,464,19841.16,48,Unemployed,1
123,April Frost,53,22935.77,390,19153.27,36,Employed,1
124,Michelle Harmon,50,85994.18,301,34594.72,60,Unemployed,1
125,Helen Jones,21,35006.6,670,33018.52,48,Self-Employed,1
126,Erin Edwards,21,36284.66,434,46745.27,48,Self-Employed,1
127,Michelle Evans,25,22309.56,545,36940.23,36,Self-Employed,0
128,Jason Powell,53,52639.25,530,49651.57,12,Unemployed,0
129,Cameron Fisher,59,86571.45,810,46969.39,36,Self-Employed,1
130,Megan Orr,44,86777.92,783,15967.89,60,Employed,1
131,Elizabeth Kelley,30,93749.45,820,38583.16,24,Employed,1
132,Dustin Jordan,44,47190.02,819,17022.77,12,Unemployed,1
133,Mary Marshall,55,66393.87,801,43936.73,48,Self-Employed,1
134,Daniel Kennedy,40,46595.2,686,25490.51,36,Employed,0
135,Rebecca Jackson,54,50637.67,720,6964.13,48,Self-Employed,1
136,Jose Schultz,42,99073.12,455,27289.79,12,Employed,1
137,Robert Potter,24,89935.23,750,9487.03,48,Employed,0
138,Courtney Gonzalez,44,89674.64,458,8367.27,36,Unemployed,1
139,David Alvarez,59,26425.23,636,43355.36,60,Unemployed,1
140,Angel Perry,58,77497.39,799,44257.24,12,Self-Employed,0
141,Cheyenne Horton,33,70492.88,594,49884.17,12,Unemployed,0
142,David Douglas Jr.,58,76311.27,402,24965.53,36,Employed,0
143,Patricia Rodriguez,38,83691.48,600,21130.85,48,Employed,0
144,Christopher Rubio,51,52964.14,484,12649.26,12,Self-Employed,1
145,Amber Wright,57,74650.77,809,46077.31,24,Employed,1
146,Joyce Solis,58,40318.19,561,35007.83,48,Unemployed,0
147,Victoria Larson,22,55338.38,653,49444.33,36,Self-Employed,1
148,Stephanie Salazar,62,40007.86,609,13964.76,48,Unemployed,0
149,Kathy Rivas,33,50509.14,667,30866.54,36,Employed,1
150,Stephanie Manning,35,20647.84,350,45977.76,48,Unemployed,0
151,David Wright,56,84154.56,524,33647.8,60,Unemployed,0
152,Pamela Boyd,58,27773.11,340,18901.98,48,Employed,1
153,Denise Jones,64,30512.94,602,19702.36,48,Employed,0
154,Devon Flores,26,82921.02,674,28888.36,36,Employed,1
155,Brenda Hall,48,97390.73,602,38595.17,36,Employed,1
156,Michelle Brown,22,31260.56,531,43706.33,48,Self-Employed,1
157,Joshua Perry,23,83254.56,314,16900.64,12,Unemployed,1
158,Jason Stein,61,79920.93,568,31305.2,36,Employed,0
159,Melissa Gates,48,22001.97,635,46186.52,24,Self-Employed,0
160,Jamie Smith,58,85908.43,609,34215.78,12,Employed,0
161,Paul Castaneda,20,44349.17,804,10225.42,24,Self-Employed,0
162,Jennifer Adkins,42,56291.5,729,31430.32,24,Unemployed,0
163,Lindsey Walker,49,69252.18,586,6472.23,36,Employed,1
164,Jeffrey Johnson,46,96044.41,671,9470.96,36,Self-Employed,1
165,Michael Powell,21,51851.17,494,48569.31,48,Employed,0
166,John Anderson,59,71159.43,321,7276.03,36,Employed,0
167,Alyssa Long,54,36416.45,512,31387.24,24,Unemployed,0
168,Alyssa Day,56,20226.84,448,49438.73,60,Unemployed,0
169,Joel Williams,25,72884.61,326,10931.15,36,Employed,1
170,Daniel Murphy,19,33939.7,353,10704.13,48,Self-Employed,0
171,Jamie Walton,65,25084.64,759,40010.77,60,Self-Employed,0
172,Darlene Miller,46,60307.1,344,37725.93,60,Unemployed,1
173,Joshua Cooke,59,97122.09,362,49936.4,48,Unemployed,0
174,Matthew Harrington,49,76992.11,754,8307.08,12,Unemployed,0
175,Nicole Herring,22,30095.33,632,22140.7,60,Self-Employed,1
176,Alex Hernandez,47,60444.09,740,9463.03,12,Self-Employed,0
177,Michael Elliott,45,56124.39,533,23621.61,48,Unemployed,1
178,Michael Wang,64,27606.87,737,19063.56,36,Unemployed,0
179,Lawrence Adkins,61,93838.8,368,9105.12,12,Employed,1
180,Robert Oconnell,24,79567.12,681,41529.62,60,Employed,1
181,Alexander Collins,60,29778.5,662,44312.33,48,Self-Employed,0
182,Tina Sanders,36,68032.81,660,9662.03,60,Employed,0
183,Angela Vaughn,60,58575.15,410,20755.13,60,Unemployed,0
184,Ashley Barton,35,65928.0,739,43031.98,60,Self-Employed,0
185,Lindsay Martinez,56,94326.74,573,6302.89,36,Self-Employed,1
186,Dr. Hannah Patterson,39,48081.87,485,44143.82,60,Self-Employed,1
187,Jonathan Peterson,22,31349.97,331,9129.1,60,Employed,1
188,Samantha Garcia,44,56291.66,461,21652.39,36,Self-Employed,0
189,Madison Poole,21,32446.39,350,35328.59,36,Unemployed,1
190,Jessica Gross,49,68566.08,724,17292.51,60,Employed,1
191,Debra Morton,45,28871.18,798,28712.03,36,Employed,0
192,Karen Graham,43,98755.65,356,5345.92,36,Employed,0
193,Debra Christian,34,43155.77,422,5347.85,48,Employed,0
194,Angelica Keith,42,62606.59,535,27511.81,36,Employed,1
195,John Bishop,65,23384.18,319,25688.94,12,Unemployed,1
196,Allen Rosales,54,52353.83,727,18028.18,48,Employed,1
197,Daniel Salinas,28,84105.77,771,42441.17,36,Employed,1
198,Spencer Haynes,24,39465.32,710,28578.31,48,Unemployed,1
199,Adam Vaughan,32,46645.49,472,8437.07,12,Self-Employed,0
200,Nathan Freeman,40,48087.98,451,15632.1,24,Unemployed,0
201,Melissa Brewer,29,68191.92,377,12971.58,48,Unemployed,1
202,Ricky Davis II,61,93932.34,630,43891.11,36,Employed,1
203,Elizabeth Perkins,22,57513.69,610,40834.84,60,Employed,1
204,Joseph Coleman,50,25935.25,772,25336.12,12,Unemployed,1
205,Erin Warner,22,71573.32,392,32675.38,60,Unemployed,1
206,David Martinez,55,64345.31,342,25238.02,60,Self-Employed,0
207,Bryan Herrera,38,68400.47,813,11788.75,12,Unemployed,0
208,Cathy Robinson,39,98590.85,386,27704.71,24,Employed,0
209,Dr. William Warren,63,55020.66,749,28583.08,60,Employed,1
210,Brian Lee,41,93434.94,696,23394.62,36,Self-Employed,0
211,Christopher Smith,58,71784.43,367,19836.08,60,Self-Employed,1
212,Denise Mccann,36,40159.66,453,20001.29,60,Self-Employed,0
213,Melissa Martinez,40,44818.54,701,10802.82,12,Unemployed,1
214,Katherine Salas,59,83332.96,430,35155.24,60,Employed,1
215,Julie Alexander,50,48946.25,671,18898.97,24,Unemployed,1
216,Anthony Everett,30,38123.44,440,11972.53,36,Employed,0
217,Rodney Morales,60,46941.15,434,31876.09,24,Employed,0
218,Mark Brown,62,81687.83,469,37453.23,12,Unemployed,1
219,Justin Torres,61,77566.85,754,32476.79,48,Employed,0
220,Bailey Duran DDS,37,97247.73,780,45678.85,24,Unemployed,1
221,Courtney Mills,47,81555.08,691,27630.8,48,Employed,0
222,Jeremy Dalton,56,31071.88,556,7348.09,48,Unemployed,0
223,Elizabeth Oliver DDS,63,87671.38,427,17827.84,24,Unemployed,1
224,Theresa Clark,50,31787.89,747,9127.11,24,Unemployed,1
225,Matthew Moore,19,53191.75,705,27590.32,24,Unemployed,0
226,Benjamin Smith,41,37963.1,626,46887.17,36,Employed,0
227,Kirk Carter,20,42950.35,783,36323.24,24,Self-Employed,1
228,Michael Warner,46,69227.86,381,5855.17,24,Employed,1
229,Michael Bradshaw,25,82093.81,543,18551.8,12,Employed,1
230,Lori Guerrero,58,83511.93,768,7826.32,48,Self-Employed,0
231,Jessica Stephens,58,61230.06,547,37334.49,36,Unemployed,0
232,Susan Serrano,57,48225.28,726,13429.13,12,Self-Employed,1
233,Christopher Parker,22,96272.29,819,40388.56,60,Self-Employed,0
234,Laura Roberts,42,89866.52,344,33605.19,36,Unemployed,0
235,Michael Lyons,40,83081.6,653,15850.67,12,Self-Employed,1
236,Kathryn Snyder,26,23546.86,646,41607.9,24,Self-Employed,1
237,Andrew Reynolds,62,58282.49,486,41517.4,12,Self-Employed,1
238,David Davis,20,43475.41,344,40599.91,12,Unemployed,1
239,Sara Johnston,50,51857.92,784,16399.12,24,Unemployed,1
240,Yvonne Chambers,21,89263.86,639,17294.75,36,Unemployed,1
241,Andrew Avila,65,55178.93,695,20256.65,24,Unemployed,1
242,Matthew Moon,41,93944.84,831,17002.43,12,Self-Employed,1
243,Kevin Walters,23,54448.57,484,29546.35,36,Employed,0
244,Brandon Bailey MD,38,72873.54,613,25066.21,48,Employed,1
245,Shannon Rivera,40,55770.37,661,32668.32,48,Unemployed,0
246,Donna Landry,22,73694.71,715,21349.0,24,Employed,0
247,Krista Gibson,56,74247.11,748,6565.95,12,Employed,1
248,Frank Cordova,41,50628.35,333,32229.27,48,Unemployed,1
249,Jose Travis,46,81046.76,440,28825.69,48,Unemployed,1
250,Kimberly Gutierrez,33,96841.6,326,38105.37,48,Self-Employed,1
251,Isaiah Avila,53,29420.88,566,36681.7,24,Self-Employed,1
252,Olivia Harris,62,93318.31,802,14008.03,24,Employed,1
253,Tanya Kim,29,91894.32,755,49876.81,36,Self-Employed,1
254,Barbara Dudley,63,25195.13,597,45109.93,24,Self-Employed,0
255,Cynthia Moore,41,60700.46,424,49330.96,24,Employed,1
256,Kristen Davis,19,48871.72,677,26033.26,60,Employed,0
257,Susan Murray MD,22,44743.26,790,28656.3,48,Self-Employed,0
258,Kathleen Moran,26,97790.38,375,25248.85,60,Unemployed,0
259,Denise Davenport,53,71183.51,486,39550.17,24,Unemployed,0
260,Mrs. Kristen Reyes,25,61448.17,611,12409.57,36,Self-Employed,0
261,Katie Suarez,40,95798.65,831,45271.67,12,Unemployed,0
262,Desiree Tyler,58,96508.13,581,10632.66,36,Self-Employed,0
263,Timothy Romero,50,71278.99,457,12704.03,60,Self-Employed,1
264,Diane Evans,54,23295.54,329,8655.03,60,Unemployed,0
265,Yvonne Burns,54,53326.94,331,27411.71,60,Unemployed,1
266,Joshua Reed,48,39590.23,715,18384.52,12,Self-Employed,0
267,Kimberly Gibson,28,55168.44,795,25899.9,36,Self-Employed,0
268,Colin Terry,38,88918.81,626,38038.99,36,Unemployed,0
269,Cynthia Rowe,41,61198.41,408,19360.21,48,Employed,1
270,Patrick Thornton,46,39833.51,399,7277.24,48,Self-Employed,1
271,Jasmin Alvarado,33,97014.87,463,41606.5,60,Self-Employed,1
272,Veronica Simpson,30,81049.71,810,49818.62,48,Unemployed,1
273,Jonathan Lawrence,49,21854.1,702,27745.0,24,Employed,1
274,Shelly Alexander,21,24043.23,806,31888.34,48,Unemployed,0
275,Joyce Bowen,24,54474.22,570,37737.86,48,Unemployed,0
276,Matthew Moore,43,24092.61,499,21313.57,36,Employed,1
277,Wayne Morgan,50,56028.35,586,42139.01,60,Self-Employed,0
278,Marie Christian,26,98006.63,703,21793.93,36,Self-Employed,1
279,Shannon James,27,35924.63,821,23062.42,12,Employed,0
280,Nathan Malone,26,77087.35,785,28369.97,24,Self-Employed,0
281,Amanda Jones,38,94509.5,626,12312.59,60,Self-Employed,1
282,Tammie Bright,55,46909.88,821,28955.29,60,Unemployed,1
283,Jessica Garcia,19,49468.62,412,49095.41,60,Unemployed,0
284,Shelia Wallace,56,57967.22,533,37463.01,60,Unemployed,0
285,Stephanie Williams,51,70322.02,689,11649.91,24,Employed,0
286,Elaine Brooks,30,21514.99,621,23845.11,48,Self-Employed,0
287,Joseph Knight,44,60145.56,782,44276.8,12,Self-Employed,0
288,Carolyn Miller,51,36587.34,632,49915.53,48,Self-Employed,1
289,Lisa Allen,38,96534.84,770,46045.59,36,Self-Employed,1
290,Briana Murray,61,81759.18,570,32453.45,24,Employed,1
291,David Smith,53,43879.93,604,39702.84,24,Self-Employed,1
292,Stephanie Byrd,38,58384.27,580,17950.52,60,Self-Employed,1
293,Jeremy Reed,43,85470.2,449,18070.37,36,Self-Employed,0
294,Margaret Coleman,40,93920.77,562,38630.23,24,Employed,1
295,Ryan Gonzalez,53,75693.7,440,9915.2,60,Employed,0
296,John Young,21,73586.72,843,15155.22,24,Employed,0
297,Laura Haney,44,46423.49,783,9524.52,24,Employed,0
298,William Barrett,44,72231.42,787,26485.18,24,Unemployed,1
299,Keith Jennings,36,71671.83,391,34353.44,24,Self-Employed,0
300,Amber Obrien,29,53430.8,480,47026.52,12,Unemployed,1
301,Tanner Mitchell DDS,29,94928.7,596,44453.44,12,Unemployed,0
302,Heather Fields,39,42764.93,836,27226.06,24,Self-Employed,1
303,Megan Le,35,35424.91,415,19880.78,48,Self-Employed,1
304,Sara Fuller,63,34895.93,645,40584.54,60,Self-Employed,0
305,Maria Parker,29,68876.36,715,42214.54,60,Unemployed,0
306,Kevin Oconnor,43,73540.47,489,49175.83,48,Unemployed,0
307,Edward Burgess,18,40862.82,541,25103.1,36,Unemployed,1
308,Carlos Ryan,55,77830.6,311,16769.89,36,Self-Employed,0
309,Kiara Mcintyre,21,73422.89,776,18806.29,48,Self-Employed,1
310,Dawn Summers,62,29393.26,602,21539.48,24,Employed,0
311,Dr. Paul Morgan,48,32254.85,682,23713.05,60,Unemployed,0
312,Victor Taylor,33,74427.35,383,28647.8,60,Self-Employed,1
313,Shannon Ramsey,22,93379.58,414,7779.11,60,Self-Employed,0
314,Tracy Ballard,54,62932.81,468,19765.29,60,Unemployed,0
315,Richard Smith,61,36432.12,800,9092.37,60,Unemployed,0
316,Jordan Chambers,47,30555.55,725,25555.93,12,Self-Employed,1
317,Lauren Carson,61,84553.23,322,22817.69,12,Self-Employed,0
318,Ashley Hall,55,25842.36,733,20503.8,12,Self-Employed,0
319,Stephen Hoffman,22,98890.98,783,6428.07,48,Employed,0
320,Connie Brown,59,98266.66,730,21850.74,48,Unemployed,1
321,Susan Turner,42,26420.0,436,34409.03,36,Employed,0
322,Charles Shah,52,51444.69,430,37753.62,24,Employed,0
323,Johnathan Davis,37,57040.31,734,28937.01,24,Employed,1
324,Brandy Chavez,40,32409.71,493,47183.47,12,Employed,1
325,Natalie Bautista,57,81284.28,316,15829.98,12,Employed,0
326,Patrick Moore,46,67822.79,349,16013.04,12,Unemployed,1
327,Brett Burns,32,63180.78,357,11306.1,36,Employed,1
328,Trevor Johnson,54,67833.41,628,15660.68,24,Self-Employed,0
329,Jeremy Sampson,44,44040.08,362,30052.32,60,Self-Employed,0
330,Ariana Jennings,58,74300.01,807,7109.78,36,Self-Employed,1
331,Vanessa Howard,51,45498.76,726,23371.66,36,Unemployed,0
332,Colton Martinez,52,57881.51,530,18533.14,24,Unemployed,0
333,Jordan Bates,53,53014.2,726,30077.9,24,Unemployed,0
334,Linda Smith,34,36266.94,380,46500.17,36,Employed,0
335,Dana Martinez,21,41476.93,340,44312.92,24,Self-Employed,0
336,Andrea Hubbard,48,36711.13,640,18643.46,12,Employed,0
337,Daniel Kane,65,29385.3,790,46149.86,60,Self-Employed,0
338,Charles Lester,43,93210.12,629,39898.12,48,Unemployed,1
339,Scott Thomas,37,40924.93,825,44726.54,48,Employed,1
340,David Thompson,38,93146.44,679,19081.49,12,Self-Employed,0
341,Allison Smith,65,31673.82,567,29899.02,60,Self-Employed,1
342,Cynthia Morris,36,32192.91,637,15350.84,60,Employed,1
343,Anthony Harmon,53,72368.64,645,16579.7,48,Self-Employed,1
344,Nichole Alvarez,47,33458.69,660,12616.96,60,Unemployed,0
345,Kayla Rodriguez,52,99225.88,360,28577.5,12,Self-Employed,0
346,Theresa Williams,18,52991.38,536,8058.56,24,Employed,0
347,Sharon Boyd,50,56480.77,361,32802.59,60,Unemployed,1
348,Victor Brown,19,20528.99,721,5533.29,60,Self-Employed,1
349,James Parks,52,98198.35,317,27599.72,48,Employed,0
350,Theodore Jones Jr.,24,61950.83,546,13636.94,60,Unemployed,1
351,Ana Hill,35,83594.91,380,21787.32,48,Unemployed,0
352,Kimberly Nguyen,62,38068.58,382,34418.11,12,Employed,1
353,Kerry Chavez DDS,42,50173.57,787,7525.17,12,Self-Employed,0
354,Michael Farrell,23,59988.67,744,34020.83,36,Self-Employed,0
355,Patricia Le,51,93532.18,535,14513.77,60,Unemployed,1
356,Jesse Perez,20,93932.74,587,45469.02,60,Self-Employed,0
357,Jesse Perry,29,94301.31,622,5704.61,24,Self-Employed,0
358,Jeffery Ortega,63,85672.19,378,18467.46,60,Employed,1
359,Christian Leblanc,61,91722.06,639,22273.08,24,Self-Employed,0
360,Ronald Davis,50,79636.52,654,7416.34,48,Employed,0
361,Parker Cain,39,68413.5,706,48601.42,36,Employed,1
362,Laurie Hoffman,46,59248.28,664,29886.7,48,Unemployed,0
363,Bryan Gomez,61,66870.01,689,8856.24,60,Unemployed,0
364,Nicole Parrish,63,25880.53,574,11939.94,24,Self-Employed,1
365,Tracy Burke,38,48856.02,393,5233.79,36,Unemployed,1
366,Kenneth Lewis,35,28178.51,389,13432.63,48,Self-Employed,1
367,Courtney Rodriguez,24,22100.95,662,29939.89,60,Self-Employed,1
368,Holly Farmer,42,20987.25,723,22450.98,12,Self-Employed,0
369,Renee Bruce,54,61688.36,689,12627.58,36,Unemployed,1
370,Sabrina Austin,49,31674.79,471,24560.43,48,Unemployed,1
371,Allison Hickman,22,48889.99,552,37440.48,48,Self-Employed,0
372,Debra White,47,28557.79,611,5304.53,48,Unemployed,1
373,Ellen Morgan,39,55217.83,740,41696.4,60,Employed,1
374,Sergio Knight,38,68256.9,505,26555.44,24,Unemployed,1
375,Charles Schultz,36,78789.95,802,48549.34,24,Unemployed,1
376,Paul Lewis,35,85319.56,702,21425.7,60,Employed,0
377,Glen Wood,61,81409.43,327,47885.21,48,Self-Employed,0
378,Paula Bradley,46,83814.84,370,41853.45,48,Self-Employed,1
379,Anthony Moore,26,70666.88,547,16370.68,24,Self-Employed,1
380,Megan Nelson,42,25917.21,790,31200.98,60,Self-Employed,1
381,Karla Ramos,52,22941.21,668,36573.54,60,Self-Employed,0
382,Paul Wilson,24,81516.32,663,12485.23,60,Employed,1
383,Douglas Gregory,39,97257.34,740,9767.5,12,Unemployed,0
384,Mr. Andrew Foster,50,79748.24,526,25060.03,48,Unemployed,0
385,Aimee Turner,40,99816.22,794,9704.72,48,Employed,0
386,Chad Scott,64,31334.01,619,20438.0,24,Self-Employed,1
387,Adam Burgess,40,58093.0,748,37489.73,48,Unemployed,0
388,James Padilla,37,23574.64,417,6016.33,36,Self-Employed,0
389,Sandra Drake,61,84004.01,549,28219.73,60,Employed,1
390,Scott Williams,53,54109.55,773,15433.5,48,Self-Employed,0
391,Thomas Atkins,29,71238.31,742,22801.21,60,Employed,1
392,Laura Mckinney,55,54364.23,304,36713.1,24,Unemployed,0
393,Brian Smith,54,28140.16,849,13413.19,36,Employed,1
394,Robert Montgomery,25,40988.27,801,28747.18,36,Self-Employed,1
395,Tamara Davis,57,51403.52,416,20656.61,48,Self-Employed,0
396,Dana Chapman,61,76479.07,604,46340.72,60,Employed,0
397,Jennifer Collins,38,29428.93,612,10262.7,36,Self-Employed,0
398,Gary Jackson,50,51077.06,441,30866.27,48,Employed,1
399,Ashley Hicks,58,62990.34,477,29971.07,48,Unemployed,0
400,Hannah Luna,29,45166.4,761,32873.45,36,Employed,1
401,Robin Young,26,35610.28,693,48372.31,60,Self-Employed,1
402,Craig Morrison,44,74775.73,725,36956.41,48,Unemployed,0
403,Mary Thompson,23,65231.82,525,18144.05,36,Employed,1
404,Kathleen Webster,28,82459.22,807,29737.68,12,Self-Employed,0
405,Joann Glass,35,82009.04,675,29391.95,12,Self-Employed,1
406,Madison Weber,52,37483.35,735,9608.74,24,Unemployed,0
407,Lori Hernandez,46,41025.22,389,24758.15,12,Employed,0
